Unidades da Federação;Localização;Ano;Produção de petróleo (mil barris)
Amazonas;Terra;2009;12351
Maranhão;Terra;2009;0
Ceará;Terra;2009;761
Ceará;Mar;2009;2539
Rio Grande do Norte;Terra;2009;18295
Rio Grande do Norte;Mar;2009;3012
Alagoas;Terra;2009;2246
Alagoas;Mar;2009;96
Sergipe;Terra;2009;12583
Sergipe;Mar;2009;3515
Bahia;Terra;2009;14642
Bahia;Mar;2009;338
Espírito Santo;Terra;2009;4587
Espírito Santo;Mar;2009;31371
Rio de Janeiro;Mar;2009;605212
São Paulo;Mar;2009;333
Amazonas;Terra;2010;13029
Maranhão;Terra;2010;0
Ceará;Terra;2010;674
Ceará;Mar;2010;2261
Rio Grande do Norte;Terra;2010;17868
Rio Grande do Norte;Mar;2010;2914
Alagoas;Terra;2010;2030
Alagoas;Mar;2010;85
Sergipe;Terra;2010;12020
Sergipe;Mar;2010;3063
Bahia;Terra;2010;15550
Bahia;Mar;2010;343
Espírito Santo;Terra;2010;4801
Espírito Santo;Mar;2010;75232
Rio de Janeiro;Mar;2010;594803
São Paulo;Mar;2010;5278
Amazonas;Terra;2011;12683
Maranhão;Terra;2011;0
Ceará;Terra;2011;567
Ceará;Mar;2011;2051
Rio Grande do Norte;Terra;2011;18595
Rio Grande do Norte;Mar;2011;2808
Alagoas;Terra;2011;1896
Alagoas;Mar;2011;108
Sergipe;Terra;2011;11745
Sergipe;Mar;2011;3586
Bahia;Terra;2011;15776
Bahia;Mar;2011;247
Espírito Santo;Terra;2011;5179
Espírito Santo;Mar;2011;110688
Rio de Janeiro;Mar;2011;568556
São Paulo;Mar;2011;13984
Amazonas;Terra;2012;12283
Maranhão;Terra;2012;0
Ceará;Terra;2012;457
Ceará;Mar;2012;1919
Rio Grande do Norte;Terra;2012;18966
Rio Grande do Norte;Mar;2012;2785
Alagoas;Terra;2012;1647
Alagoas;Mar;2012;81
Sergipe;Terra;2012;11547
Sergipe;Mar;2012;3200
Bahia;Terra;2012;15712
Bahia;Mar;2012;307
Espírito Santo;Terra;2012;5435
Espírito Santo;Mar;2012;107666
Rio de Janeiro;Mar;2012;561481
São Paulo;Mar;2012;10921
Amazonas;Terra;2013;11270
Maranhão;Terra;2013;29
Ceará;Terra;2013;413
Ceará;Mar;2013;2633
Rio Grande do Norte;Terra;2013;19116
Rio Grande do Norte;Mar;2013;2708
Alagoas;Terra;2013;1310
Alagoas;Mar;2013;131
Sergipe;Terra;2013;10627
Sergipe;Mar;2013;3620
Bahia;Terra;2013;15777
Bahia;Mar;2013;385
Espírito Santo;Terra;2013;5350
Espírito Santo;Mar;2013;108034
Rio de Janeiro;Mar;2013;532036
São Paulo;Mar;2013;25274
Amazonas;Terra;2014;10222
Maranhão;Terra;2014;43
Ceará;Terra;2014;446
Ceará;Mar;2014;2221
Rio Grande do Norte;Terra;2014;18347
Rio Grande do Norte;Mar;2014;2615
Alagoas;Terra;2014;1519
Alagoas;Mar;2014;115
Sergipe;Terra;2014;10133
Sergipe;Mar;2014;4839
Bahia;Terra;2014;15632
Bahia;Mar;2014;356
Espírito Santo;Terra;2014;5235
Espírito Santo;Mar;2014;128739
Rio de Janeiro;Mar;2014;563232
São Paulo;Mar;2014;59235
Amazonas;Terra;2015;9601
Maranhão;Terra;2015;4
Ceará;Terra;2015;533
Ceará;Mar;2015;1901
Rio Grande do Norte;Terra;2015;18247
Rio Grande do Norte;Mar;2015;2594
Alagoas;Terra;2015;1556
Alagoas;Mar;2015;97
Sergipe;Terra;2015;9171
Sergipe;Mar;2015;2992
Bahia;Terra;2015;14190
Bahia;Mar;2015;240
Espírito Santo;Terra;2015;5066
Espírito Santo;Mar;2015;136581
Rio de Janeiro;Mar;2015;596924
São Paulo;Mar;2015;89968
Amazonas;Terra;2016;8561
Maranhão;Terra;2016;14
Ceará;Terra;2016;567
Ceará;Mar;2016;1928
Rio Grande do Norte;Terra;2016;18176
Rio Grande do Norte;Mar;2016;2257
Alagoas;Terra;2016;1499
Alagoas;Mar;2016;55
Sergipe;Terra;2016;8187
Sergipe;Mar;2016;2715
Bahia;Terra;2016;12994
Bahia;Mar;2016;281
Espírito Santo;Terra;2016;4690
Espírito Santo;Mar;2016;139490
Rio de Janeiro;Mar;2016;614713
São Paulo;Mar;2016;102605
Amazonas;Terra;2017;7482
Maranhão;Terra;2017;13
Ceará;Terra;2017;448
Ceará;Mar;2017;1558
Rio Grande do Norte;Terra;2017;15205
Rio Grande do Norte;Mar;2017;2096
Alagoas;Terra;2017;1139
Alagoas;Mar;2017;50
Sergipe;Terra;2017;6572
Sergipe;Mar;2017;1899
Bahia;Terra;2017;11631
Bahia;Mar;2017;206
Espírito Santo;Terra;2017;3891
Espírito Santo;Mar;2017;133869
Rio de Janeiro;Mar;2017;650854
São Paulo;Mar;2017;120014
Amazonas;Terra;2018;7462
Maranhão;Terra;2018;15
Ceará;Terra;2018;384
Ceará;Mar;2018;1584
Rio Grande do Norte;Terra;2018;12830
Rio Grande do Norte;Mar;2018;1870
Alagoas;Terra;2018;929
Alagoas;Mar;2018;43
Sergipe;Terra;2018;4853
Sergipe;Mar;2018;1776
Bahia;Terra;2018;10586
Bahia;Mar;2018;193
Espírito Santo;Terra;2018;3588
Espírito Santo;Mar;2018;118721
Rio de Janeiro;Mar;2018;662818
São Paulo;Mar;2018;116464
