Bacia Sedimentar;Estado;Terra/Mar;Campo;Concessionário;Percentual
Alagoas;Alagoas;Mar;Paru;Petrobras¹;100
Alagoas;Alagoas;Terra;Anambé;Petrobras¹;100
Alagoas;Alagoas;Terra;Arapaçu;Petrobras¹;100
Alagoas;Alagoas;Terra;Cidade de São Miguel dos Campos;Petrobras¹;100
Alagoas;Alagoas;Terra;Cidade de Sebastião Ferreira3;Petrosynergy¹;100
Alagoas;Alagoas;Terra;Coqueiro Seco;Petrosynergy¹;100
Alagoas;Alagoas;Terra;Fazenda Pau Brasil;Petrosynergy¹;100
Alagoas;Alagoas;Terra;Furado;Petrobras¹;100
Alagoas;Alagoas;Terra;Jequiá;Petrosynergy¹;100
Alagoas;Alagoas;Terra;Lagoa Pacas3;Petrosynergy¹;100
Alagoas;Alagoas;Terra;Pilar;Petrobras¹;100
Alagoas;Alagoas;Terra;São Miguel dos Campos;Petrobras¹;100
Alagoas;Alagoas;Terra;Sul de Coruripe;Petrosynergy¹;100
Alagoas;Alagoas;Terra;Tabuleiro dos Martins;Petrosynergy¹;100
Camamu;Bahia;Mar;Manati;Queiroz Galvão;45
Camamu;Bahia;Mar;Manati;Petrobras¹;35
Camamu;Bahia;Mar;Manati;Brasoil Manati;10
Camamu;Bahia;Mar;Manati;Geopark Brasil;10
Camamu;Bahia;Terra;Jiribatuba2;Alvopetro¹;100
Camamu;Bahia;Terra;Morro do Barro2;Panergy¹;30
Camamu;Bahia;Terra;Morro do Barro2;ERG;70
Campos;Espírito Santo;Mar;Abalone;Shell Brasil¹;50
Campos;Espírito Santo;Mar;Abalone;ONGC Campos;27
Campos;Espírito Santo;Mar;Abalone;QPI Brasil Petróleo;23
Campos;Espírito Santo;Mar;Argonauta;Shell Brasil¹;50
Campos;Espírito Santo;Mar;Argonauta;ONGC Campos;27
Campos;Espírito Santo;Mar;Argonauta;QPI Brasil Petróleo;23
Campos;Espírito Santo;Mar;Baleia Anã;Petrobras¹;100
Campos;Espírito Santo;Mar;Baleia Azul;Petrobras¹;100
Campos;Espírito Santo;Mar;Baleia Franca;Petrobras¹;100
Campos;Espírito Santo;Mar;Cachalote;Petrobras¹;100
Campos;Espírito Santo;Mar;Jubarte;Petrobras¹;100
Campos;Espírito Santo;Mar;Ostra;Shell Brasil¹;50
Campos;Espírito Santo;Mar;Ostra;ONGC Campos;27
Campos;Espírito Santo;Mar;Ostra;QPI Brasil Petróleo;23
Campos;Espírito Santo;Mar;Pirambu;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Albacora;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Albacora Leste;Petrobras¹;90
Campos;Rio de Janeiro;Mar;Albacora Leste;Repsol Sinopec;10
Campos;Rio de Janeiro;Mar;Anequim;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Badejo;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Bagre;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Barracuda;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Bicudo;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Bijupirá;Shell Brasil¹;80
Campos;Rio de Janeiro;Mar;Bijupirá;Petrobras;20
Campos;Rio de Janeiro;Mar;Bonito;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Carapeba;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Caratinga;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Cherne;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Congro;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Corvina;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Enchova;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Enchova Oeste;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Espadarte;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Frade;Chevron Frade¹;51,74
Campos;Rio de Janeiro;Mar;Frade;Petrobras;30
Campos;Rio de Janeiro;Mar;Frade;Frade;18,26
Campos;Rio de Janeiro;Mar;Garoupa;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Garoupinha;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Linguado;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Malhado;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Marimbá;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Marlim;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Marlim Leste;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Marlim Sul;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Moréia3;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Namorado;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Nordeste de Namorado3;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Pampo;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Papa-Terra;Petrobras¹;62,5
Campos;Rio de Janeiro;Mar;Papa-Terra;Chevron Brasil;37,5
Campos;Rio de Janeiro;Mar;Parati;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Pargo;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Peregrino;Equinor Brasil¹;60
Campos;Rio de Janeiro;Mar;Peregrino;Sinochem Petróleo;40
Campos;Rio de Janeiro;Mar;Piraúna;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Polvo;PetroRio¹;100
Campos;Rio de Janeiro;Mar;Roncador;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Salema;Shell Brasil¹;80
Campos;Rio de Janeiro;Mar;Salema;Petrobras;20
Campos;Rio de Janeiro;Mar;Tartaruna Verde;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Trilha;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Tubarão Azul3;Dommo Energia¹;100
Campos;Rio de Janeiro;Mar;Tubarão Martelo;Dommo Energia¹;100
Campos;Rio de Janeiro;Mar;Vermelho;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Viola;Petrobras¹;100
Campos;Rio de Janeiro;Mar;Voador;Petrobras¹;100
Ceará;Ceará;Mar;Atum;Petrobras¹;100
Ceará;Ceará;Mar;Curimã;Petrobras¹;100
Ceará;Ceará;Mar;Espada;Petrobras¹;100
Ceará;Ceará;Mar;Xaréu;Petrobras¹;100
Espírito Santo;Espírito Santo;Mar;Cação3;Petrobras¹;100
Espírito Santo;Espírito Santo;Mar;Camarupim;Petrobras¹;100
Espírito Santo;Espírito Santo;Mar;Camarupim Norte;Petrobras¹;65
Espírito Santo;Espírito Santo;Mar;Camarupim Norte;OP Energia;35
Espírito Santo;Espírito Santo;Mar;Canapu;Petrobras¹;100
Espírito Santo;Espírito Santo;Mar;Cangoá;Petrobras¹;100
Espírito Santo;Espírito Santo;Mar;Golfinho;Petrobras¹;100
Espírito Santo;Espírito Santo;Mar;Peroá;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Albatroz3;Petrosynergy¹;100
Espírito Santo;Espírito Santo;Terra;Barra do Ipiranga;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Biguá;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Cacimbas;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Campo Grande;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Cancã;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Córrego Cedro Norte;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Córrego Cedro Norte Sul;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Córrego das Pedras;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Córrego Dourado;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Crejoá2;Central Resources¹;100
Espírito Santo;Espírito Santo;Terra;Fazenda Alegre;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Fazenda Cedro;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Fazenda Cedro Norte;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Fazenda Cedro Norte Sul;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Fazenda Queimadas;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Fazenda Santa Luzia;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Fazenda São Jorge;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Fazenda São Rafael;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Gaivota;Vipetro1;100
Espírito Santo;Espírito Santo;Terra;Guriri;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Inhambu;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Jacupemba;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Jacutinga;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Lagoa Bonita;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Lagoa Parda;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Lagoa Parda Norte;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Lagoa Parda Sul3;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Lagoa Piabanha;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Lagoa Suruaca;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Mariricu;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Mariricu Norte;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Mariricu Oeste;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Mosquito3;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Mosquito Norte3;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Nativo Oeste;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Rio Barra Seca;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Rio Doce3;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Rio Ibiribas3;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Rio Ipiranga²;IPI¹;100
Espírito Santo;Espírito Santo;Terra;Rio Itaúnas;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Rio Itaúnas Leste;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Rio Preto;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Rio Preto Oeste;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Rio Preto Sul;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Rio São Mateus;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Rio São Mateus Oeste;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Saira2;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;São Mateus;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;São Mateus Leste;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Seriema;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Tabuiaiá;Petrobras¹;100
Espírito Santo;Espírito Santo;Terra;Tucano;Vipetro1;100
Mucuri;Bahia;Terra;Ilha da Caçumba3;Petrobras¹;100
Parnaíba;Maranhão;Terra;Gavião Azul;Parnaíba Gás Natural¹;100
Parnaíba;Maranhão;Terra;Gavião Branco;Parnaíba Gás Natural¹;100
Parnaíba;Maranhão;Terra;Gavião Caboclo;Parnaíba Gás Natural¹;100
Parnaíba;Maranhão;Terra;Gavião Real;Parnaíba Gás Natural¹;100
Parnaíba;Maranhão;Terra;Gavião Vermelho;Parnaíba Gás Natural¹;100
Potiguar;Ceará;Terra;Fazenda Belém;Petrobras¹;100
Potiguar;Ceará;Terra;Icapuí;Petrobras¹;100
Potiguar;Rio Grande do Norte;Mar;Agulha;Petrobras¹;100
Potiguar;Rio Grande do Norte;Mar;Arabaiana;Petrobras¹;65
Potiguar;Rio Grande do Norte;Mar;Arabaiana;OP Pescada;35
